# Addresses this project depends on, and the evidence for each.
#
# JIP-38 names no addresses. Every entry below is therefore an INFERENCE drawn
# from chain activity, not a fact published by Jito. If an inference is wrong,
# every figure derived from it is wrong — so each one is recorded here with the
# evidence that supports it, and the confidence it deserves.
#
# This file is the reason a reader can disagree with a published number. Take an
# address out of here, look at it yourself, and reach your own conclusion.
#
# A registry entry is not permission to stop checking. `verify.mjs` re-tests every
# stated role on each run: an address that stops behaving the way this file says
# it behaves raises an alarm rather than quietly continuing to feed a figure.
#
# confidence:
#   confirmed  — Jito has published this address, or it is unambiguous on chain
#                (e.g. the SPL mint itself).
#   strong     — repeated, consistent behaviour matching the stated role, with no
#                competing explanation observed.
#   tentative  — fits the role but the sample is thin or an alternative reading
#                survives. Figures derived from a tentative address must say so.
#   rejected   — considered and ruled out. Kept, so the same candidate is not
#                rediscovered and re-adopted later.
#
# role         — what this project believes the address does
# address      — base58, verbatim
# confidence   — as above
# since        — first observation supporting the entry (UTC date)
# evidence     — how it was identified, specifically enough to be re-run
#
role	address	confidence	since	evidence
jto-mint	jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL	confirmed	2026-09-09	The SPL mint for JTO, and the root of every figure this project will publish. Promoted from strong to confirmed on 2026-09-09 by asking the chain. getAccountInfo returns an initialised SPL mint with 9 decimals, and the Metaplex metadata PDA C39qDAVQiL5scYez3Udj79GQ4vrY1aFXpLKPTaYWZE9q (bump 255, derived not looked up) carries name JITO, symbol JTO and URI https://metadata.jito.network/token/jto -- an identity asserted on chain under a domain Jito controls, which a vanity prefix alone could never establish. mintAuthority and freezeAuthority are both null, so no JTO can ever be created again and supply is monotonically non-increasing: every genuine SPL burn against this mint is permanent by construction, and supply can fall by no other mechanism. The mint's own creation was located by binary search (paging cannot reach it; JTO ran ~50k tx/day in Jan 2024): initializeMint at 2023-11-27T20:41:24Z, then a single mintToChecked of exactly 1,000,000,000 JTO into FrXfXNmsw1XCC6AeYEaYd31PjfmjqfLNn42k3CfGjtbA at 2023-11-27T20:46:54Z, tx 2M1gWKQvjCav6JLkf2j5EfUmpp31RRM27YPnG1fGiyvgqu3s4C7Z1tWYXgYKoxwgMC84WG5v7tMHwMMQ74xUekVG. Genesis supply is therefore a chain fact rather than a documented one, which makes genesis-minus-current an exact quantity of JTO destroyed. verify.mjs re-tests all of it on every run.
burn-authority-noise	7AAzTfycmXWr4bREgpNDqUD8hcA4oV26Yp4eq3mEsM11	rejected	2026-09-09	The first JTO burn this project located on chain (2026-09-09T02:55:39Z, sig 2vTgC55rUYHi3asSn5yHF317AfDcxgaB2U8jixLpBAXM28YNJn8QJSJkKK8MTgqw2R8ys3Yp5EMPu9NAWoxmgPpR) and emphatically not the Rev Splitter. It burned 0.632603956 JTO alongside two unrelated mints (J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd and HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr) inside a transaction carrying seven closeAccount instructions: a wallet sweeping dust to reclaim rent. Recorded because it falsifies this project's original discovery premise -- that the authority signing a JTO burn is downstream of the Rev Splitter. Most JTO burns are noise of exactly this shape.
burn-authority-noise	5WeuYwXNBqHsVBdq7HuQs9VihX58VzYpKL4p3UZnMWDv	rejected	2026-09-09	Dust-sweep burner, same shape as the entry above. Burned 0.0006 JTO on 2026-09-01 (sig 3u6jY1HnsP1eu3TkuppYcFVCrgQzN4D4F7bP6MkPkxyM5jpUpMy8QgVTiFAnZjYBUJcPyc7GfksD62iasm7L3b5V) in a transaction that also closed accounts and burned other mints. Ruled out on size alone: the JIP-38 programme buys JTO with 80% of JTX platform fees, which cannot produce sub-cent burns.
burn-authority-noise	7fbrW6eiGKYz6j8zrEBkFKh7U6peURLvbKN96YzS42Ki	rejected	2026-09-09	Dust-sweep burner. Burned 0.0006 JTO on 2026-08-14 (sig 3Zwg4fCLdNztxxzYcwE76N36irwj8zjPcnUG4aYhv2VVLJJLsUorzAKMwyYUxsKxLvR881AXYCkeKgjaocHXiRoq) with closeAccount instructions and unrelated mints alongside. Ruled out on size.
program-not-burner	jtogvBNH3WBSWDYD5FJfQP2ZxNTuf82zL8GkEhPeaJx	rejected	2026-09-09	Jito's on-chain governance program: executable, owned by BPFLoaderUpgradeable. Reached by walking the twenty largest JTO token accounts and noticing that one holder, jjCAwuuNpJCNMLAanpwgJZ6cdXzLPXe2GfD6TaDQBXt (21,171,408.83 JTO), is owned by this program rather than by the system program, and that its 268-byte account data contains the string Jito. Examined as a Rev Splitter candidate and ruled out: neither the program nor the governed account has any burn history. Also recorded here: none of the twenty largest JTO holders burns at all, which is consistent with a Rev Splitter that acquires and burns promptly and therefore never accumulates a balance large enough to rank. It is a reason the top-holder route cannot find it, not evidence that it does not exist.
genesis-token-account	FrXfXNmsw1XCC6AeYEaYd31PjfmjqfLNn42k3CfGjtbA	confirmed	2026-09-09	The token account that received the entire initial supply: a single mintToChecked of 1,000,000,000 JTO at 2023-11-27T20:46:54Z (tx 2M1gWKQvjCav6JLkf2j5EfUmpp31RRM27YPnG1fGiyvgqu3s4C7Z1tWYXgYKoxwgMC84WG5v7tMHwMMQ74xUekVG). Confirmed rather than inferred because the mint instruction names it directly. Its balance is now 0 -- it distributed everything -- and it has no burn history, so it is not where the 13,477,142 JTO of destroyed supply went. Recorded because it anchors the genesis supply figure that every burn total is measured against.
mint-authority-historical	Pay5KQqvaPxEey8xdibLiB3WfGfdKo3SfPreuSXeGWm	confirmed	2026-09-09	The mint authority set at initializeMint on 2023-11-27T20:41:24Z, replaced by AtNgME7ribDTqtZQcCL2xSBFL9NgHQsDFCj1TmxMpPtV at 21:36:49Z the same evening. Holds no JTO and has no burn history. Recorded so the chain of authority over supply is documented rather than assumed.
mint-authority-historical	AtNgME7ribDTqtZQcCL2xSBFL9NgHQsDFCj1TmxMpPtV	confirmed	2026-09-09	The second and final mint authority, and the address that closed minting for good. All 239 of its successful transactions (2023-11-27 to 2026-06-14) were resolved from chain: they contain exactly one supply-changing event, setAuthority mintTokens -> null at 2023-12-04T18:27:47Z. It never minted and never burned. This is what removes the last assumption from the burn arithmetic -- exactly 1,000,000,000 JTO was ever created, so genesis-minus-current is an exact quantity destroyed rather than an estimate. Also the owner of the distribution hub 7T6SXnG1m3pf3XQDNuwP8j3oCfD4CdLBCy79WgESykg1.
distribution-hub	7T6SXnG1m3pf3XQDNuwP8j3oCfD4CdLBCy79WgESykg1	confirmed	2026-09-09	Received the entire initial supply from the genesis account in a single transfer on 2023-11-27T21:13:11Z and distributed it. Owned by AtNgME7ribDTqtZQcCL2xSBFL9NgHQsDFCj1TmxMpPtV. 130 transactions, all resolved from chain; holds 1,057,671.238005009 JTO and has NO burn history. Largest outflows: 242,857,143 to 2Ch9AWnbAaummLkWTTtNgTAvrFq8YMATUaaN77TB2Y6C (today's largest holder), 224,999,279 to 8XEMySUGKRLV9wjqv2pPbr9y8Mts7Fnjt8Jrk3gFkfVK on 2023-12-07, 99,999,990 to 8Xm3tkQH581s3MoRHWUNYA5jKbgPATW4tJAAxgwDC6T6, and eight ~20M transfers on 2023-12-06 with the shape of vesting allocations. Recorded as the root of the search for the 13,477,143 JTO that has been destroyed and not yet located.
distribution-hub	8XEMySUGKRLV9wjqv2pPbr9y8Mts7Fnjt8Jrk3gFkfVK	confirmed	2026-09-09	Received 224,999,279 JTO on 2023-12-07 -- airdrop day -- and holds 0 today, which made it the prime suspect for an unclaimed-token burn. It is not. All 72 of its successful transactions were resolved from chain and contain no burn instruction: the balance left by transfer, in 71 outflows including 110,000,000 to 4AxcNk9TY2df2XNzyHHJAQMHs3TxdtqihDUtfqchXRBi on 2025-07-17. Recorded so this candidate is not investigated a second time. Owner HLksszpjGgiRbyumXyQe5VpmJLuJEnf6YcRzghyDc8Fo.
